year,local,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47
2004,부산금정구,26410,Geumjeong-gu,금정구,,,,,,,,,,,,,,,,"116,656","111,209",0,"5,447",53.9,13.13,40.79,"13,025","40,464","99,210",52,"14,344",,,,,,,,,35.9,35.9,7.7,"271,046",새천년민주당,3rd,김문곤,한나라당,100,,,
2005,부산금정구,26410,Geumjeong-gu,금정구,,,,,,,,,,,,,,,,"130,368","125,314",0,"5,054",54.4,12.86,41.5,"14,020","45,254","109,050",58,"15,666",,,,,,,,,33.9,67.7,8.3,"264,880",새천년민주당,3rd,김문곤,한나라당,100,,,
2006,부산금정구,26410,Geumjeong-gu,금정구,,,,,,,,,,,,,,,,"136,713","131,291",0,"5,422",58.2,8.33,49.85,"9,496","56,861","114,058",49,"12,976",,,,,,,,,25.1,55.1,8.9,"263,338",열린우리당,4th,고봉복,한나라당,51.1,김문곤,무소속,27.63
2007,부산금정구,26410,Geumjeong-gu,금정구,,,,,,,,,,,,,,,,"143,711","143,711","143,711","143,711",64.1,5.5,58.57,"7,355","78,259","133,620",52,"13,809",,,,,,,,,19.9,44.6,9.7,"258,934",열린우리당,4th,고봉복,한나라당,51.1,김문곤,무소속,27.63
2008,부산금정구,26410,Geumjeong-gu,금정구,,,,,,,,,,,,,,,,"158,689","154,190",0,"4,500",71.9,13.84,58.05,"20,525","86,116","148,354",63,"16,302",,,6.2,"10,752","173,405",46.3,"77,151","3,069",19.9,45.5,10.3,"256,398",한나라당,4th,고봉복,한나라당,51.1,김문곤,무소속,27.63
2009,부산금정구,26410,Geumjeong-gu,금정구,,,,,,,,,,,-8.01,"211,478","194,529","211,408",70,"202,070","197,180",0,"4,889",71.6,13.89,57.7,"22,538","93,631","162,284",63,"16,274",,,4.4,"8,988","205,912",49,"96,848","3,968",23.9,46.7,11,"252,039",한나라당,4th,고봉복,한나라당,51.1,김문곤,무소속,27.63
2010,부산금정구,26410,Geumjeong-gu,금정구,,,,,,,,,,,-6.55,"207,589","193,982","207,468",120,"206,414","193,703",0,"12,711",77.8,11.21,66.61,"18,823","111,807","167,865",63,"15,758",,,5.1,"10,438","204,482",49.6,"97,794","3,534",19.1,39.8,11.4,"255,419",한나라당,5th,원정희,한나라당,52.51,고봉복,무소속,47.48
2011,부산금정구,26410,Geumjeong-gu,금정구,,,,,,,,,,,-5.23,"245,259","232,440","245,130",129,"216,834","208,066",0,"8,768",74.9,9.14,65.76,"17,117","123,140","187,270",108,"27,477",,,4.2,"9,862","233,749",45.1,"101,133","4,172",23.1,41.7,12,"254,720",한나라당,5th,원정희,한나라당,52.51,고봉복,무소속,47.48
2012,부산금정구,26410,Geumjeong-gu,금정구,,,,,,,,,,,-9.21,"262,560","238,384","262,431",129,"243,173","228,852",0,"14,320",74.8,15.13,59.65,"31,239","123,179","206,518",118,"29,971",,,6.8,"16,573","244,228",47.7,"112,307","4,164",28,44.9,12.7,"255,692",한나라당,5th,원정희,한나라당,52.51,고봉복,무소속,47.48
2013,부산금정구,26410,Geumjeong-gu,금정구,,,,,,,,,,,-7.58,"282,934","261,475","282,770",164,"261,262","245,496",0,"15,766",76.4,14.46,61.94,"31,498","134,946","217,866",127,"32,514",,,4.3,"11,192","258,066",51.3,"126,985","5,474",26.6,42.7,13.6,"253,526",한나라당,5th,원정희,한나라당,52.51,고봉복,무소속,47.48
2014,부산금정구,26410,Geumjeong-gu,금정구,,,,,,,,,,,-6.65,"304,847","284,583","304,484",363,"279,431","259,988",0,"19,443",77.2,14.76,62.45,"33,820","143,088","229,123",134,"33,870",,,4.7,"13,398","287,596",52.1,"144,076","5,714",22,37.6,14.4,"249,856",새누리당,6th,원정희,새누리당,73,정장근,통합진보당,26.99
2015,부산금정구,26410,Geumjeong-gu,금정구,"10,336","10,336",0,0,0,"1,012,975","1,012,975",0,0,0,-6.6,"317,870","296,891","317,881",-11,"306,003","292,106",0,"13,897",79,12.9,66.09,"34,922","178,909","270,703",145,"36,302",,,3.7,"11,573","310,673",54.9,"164,184","6,318",19.9,33.9,15.3,"246,026",새누리당,6th,원정희,새누리당,73,정장근,통합진보당,26.99
2016,부산금정구,26410,Geumjeong-gu,금정구,"11,159","11,159",0,0,0,"1,040,897","1,040,897",0,0,0,6.33,"308,755","328,291","308,756",-1,"315,869","304,629",0,"11,239",79.2,12.59,66.65,"36,692","194,270","291,479",159,"39,045",,,2.9,"10,008","343,811",52.5,"173,457","7,140",19.8,33.4,16.1,"244,624",새누리당,6th,원정희,새누리당,73,정장근,통합진보당,26.99
2017,부산금정구,26410,Geumjeong-gu,금정구,"8,912","8,893",19,0,0,"1,082,423","1,081,684",739,0,0,5.09,"340,497","357,842","340,507",-10,"348,104","340,199",0,"7,905",79.1,13.23,65.87,"39,918","198,702","301,648",167,"40,880",,,3.9,"15,117","383,757",50.1,"183,226","8,935",19.4,34.1,17.2,"244,469",새정치민주연합,6th,원정희,새누리당,73,정장근,통합진보당,26.99
2018,부산금정구,26410,Geumjeong-gu,금정구,"13,138","13,106",32,0,0,"1,121,697","1,120,719",978,0,0,4.62,"357,942","374,466","357,991",-50,"363,624","354,248",0,"9,376",80,10.82,69.21,"36,968","236,458","341,646",178,"43,498",,,3.2,"12,599","399,636",52.5,"201,620","8,175",19.3,33.8,18.3,"242,956",더불어민주당,7th,정미영,더불어민주당,54.5,원정희,자유한국당,45.49
2019,부산금정구,26410,Geumjeong-gu,금정구,"11,293","11,259",34,0,0,"1,181,359","1,180,084","1,275",0,0,7.49,"414,508","445,546","414,519",-12,"423,784","414,970",0,"8,814",81.8,12.57,69.2,"49,255","271,194","391,907",192,"46,670",,,2.8,"13,365","477,413",52.5,"242,335","8,370",17.6,30.3,19.5,"239,062",더불어민주당,7th,정미영,더불어민주당,54.5,원정희,자유한국당,45.49
2020,부산금정구,26410,Geumjeong-gu,금정구,"13,243","13,193",50,0,0,"1,202,578","1,200,765","1,813",0,0,0.25,"568,657","570,090","568,536",122,"576,841","567,069",0,"9,772",82.2,12.97,69.26,"54,636","291,788","421,269",211,"50,422",,,3,"18,516","616,145",60.7,"363,206","10,958",16.5,29.6,21,"232,666",더불어민주당,7th,정미영,더불어민주당,54.5,원정희,자유한국당,45.49
2021,부산금정구,26410,Geumjeong-gu,금정구,"12,884","12,685",198,0,0,"1,227,808","1,225,805","2,003",0,0,3.35,"536,585","554,569","536,555",30,"545,758","539,471",0,"6,287",83.1,15.15,67.95,"68,175","305,810","450,051",229,"53,208",,,3.1,"618,812","19,240",58.1,"345,570","13,781",16,30,22.1,"228,049",더불어민주당,7th,정미영,더불어민주당,54.5,원정희,자유한국당,45.49
2022,부산금정구,26410,Geumjeong-gu,금정구,,,,,,,,,,,,,,,,,,,,83.9,17.85,66.06,"91,151","337,301","510,633",261,"59,467",,,,,,,,,15.8,29.6,23.6,"221,256",국민의힘,8th,김재윤,국민의힘,62.03,정미영,더불어민주당,37.96
2003,부산기장군,26710,Gijang-gun,기장군,,,,,,,,,,,,,,,,"109,894","105,363",0,"4,531",65.5,27.32,38.16,"26,171","36,546","95,778",256,"19,585",,,,,,,,,34.7,73.9,10.4,"77,632",새천년민주당,3rd,최현돌,한나라당,74.99,김홍석,무소속,25
2004,부산기장군,26710,Gijang-gun,기장군,,,,,,,,,,,,,,,,"140,456","136,001",0,"4,454",71,43.18,27.78,"54,204","34,868","125,522",386,"30,000",,,,,,,,,42.5,80.7,11,"79,788",새천년민주당,3rd,최현돌,한나라당,74.99,김홍석,무소속,25
2005,부산기장군,26710,Gijang-gun,기장군,,,,,,,,,,,,,,,,"163,303","144,441",0,"18,862",69.4,45.56,23.81,"61,854","32,325","135,773",413,"32,970",,,,,,,,,39.2,82.2,11.6,"80,104",새천년민주당,3rd,최현돌,한나라당,74.99,김홍석,무소속,25
2006,부산기장군,26710,Gijang-gun,기장군,,,,,,,,,,,,,,,,"235,423","146,051",0,"89,372",67.3,37.22,30.09,"48,761","39,417","131,002",365,"29,270",,,,,,,,,36.4,74.7,12.1,"79,334",열린우리당,4th,최현돌,한나라당,72.93,손현경,열린우리당,27.06
2007,부산기장군,26710,Gijang-gun,기장군,,,,,,,,,,,,,,,,"257,848","257,848","257,848","257,848",71.5,31.63,39.9,"50,886","64,193","160,886",460,"36,503",,,,,,,,,33.6,65.9,12.8,"79,565",열린우리당,4th,최현돌,한나라당,72.93,손현경,열린우리당,27.06
2008,부산기장군,26710,Gijang-gun,기장군,,,,,,,,,,,,,,,,"287,014","215,286",0,"71,728",84.2,42.02,42.17,"81,925","82,217","194,954",551,"43,855",,,6.4,"15,217","236,792",21.1,"47,980","2,018",34.1,66,13.2,"81,159",한나라당,4th,최현돌,한나라당,72.93,손현경,열린우리당,27.06
2009,부산기장군,26710,Gijang-gun,기장군,,,,,,,,,,,-10.98,"347,790","309,614","346,789","1,001","348,768","290,393",0,"58,374",84.8,46.23,38.56,"96,209","80,238","208,105",596,"48,410",,,5,"14,876","295,424",20.4,"57,234","3,029",33.2,68,13.1,"89,384",한나라당,4th,최현돌,한나라당,72.93,손현경,열린우리당,27.06
2010,부산기장군,26710,Gijang-gun,기장군,,,,,,,,,,,-10.42,"296,384","265,494","295,848",536,"309,080","251,138",0,"57,941",84.4,42.21,42.23,"96,773","96,825","229,281",507,"45,320",,,5.5,"13,327","241,726",23.7,"54,532","2,646",40.4,71.8,12.7,"102,557",한나라당,5th,오규석,무소속,36.86,홍성률,한나라당,31.1
2011,부산기장군,26710,Gijang-gun,기장군,,,,,,,,,,,-7.02,"304,343","282,964","303,459",884,"253,567","226,685",0,"26,882",84.9,41.88,43,"97,248","99,844","232,208",499,"51,200",,,11.8,"30,052","254,534",25.6,"61,423","3,682",32.4,66.3,12.9,"108,095",한나라당,5th,오규석,무소속,36.86,홍성률,한나라당,31.1
2012,부산기장군,26710,Gijang-gun,기장군,,,,,,,,,,,-15.27,"343,723","291,248","343,065",657,"390,510","278,709",0,"111,800",75.7,32.77,42.98,"81,323","106,641","248,137",507,"54,800",,,16.8,"48,611","288,890",28.1,"77,011","4,265",35,67.5,13.2,"114,566",한나라당,5th,오규석,무소속,36.86,홍성률,한나라당,31.1
2013,부산기장군,26710,Gijang-gun,기장군,,,,,,,,,,,-10.31,"374,276","335,701","373,638",638,"346,778","294,471",0,"52,307",75.5,32.19,43.33,"87,700","118,027","272,409",614,"70,400",,,13.3,"43,343","324,970",30.6,"93,930","5,465",37.4,66.8,12.7,"132,507",한나라당,5th,오규석,무소속,36.86,홍성률,한나라당,31.1
2014,부산기장군,26710,Gijang-gun,기장군,,,,,,,,,,,-7.79,"535,780","494,068","535,159",622,"397,969","345,124",0,"52,845",77.4,33.89,43.53,"96,792","124,343","285,638",556,"73,700",,,8.6,"41,669","482,618",25,"113,504","7,039",31.5,60.6,12.7,"144,748",새누리당,6th,오규석,무소속,31.75,홍성률,새누리당,37.22
2015,부산기장군,26710,Gijang-gun,기장군,"24,908","22,327","2,581",0,0,"2,182,495","2,179,914","3,081",0,500,-7.85,"429,935","396,193","429,255",680,"557,434","469,707",0,"87,727",75.5,32.09,43.41,"109,572","148,236","341,480",574,"83,030",,,15.2,"61,066","402,691",36.1,"135,163","10,196",30,59.1,12.9,"153,093",새누리당,6th,오규석,무소속,31.75,홍성률,새누리당,37.22
2016,부산기장군,26710,Gijang-gun,기장군,"18,680","18,126",554,0,0,"2,366,291","2,365,737","1,054",0,500,1.01,"456,963","461,598","456,950",13,"508,941","411,201",0,"97,740",83.6,40.59,43,"154,640","163,803","380,945",669,"102,350",,,10.4,"43,551","416,865",39.7,"150,560","15,122",31.5,59.2,13.3,"158,527",새누리당,6th,오규석,무소속,31.75,홍성률,새누리당,37.22
2017,부산기장군,26710,Gijang-gun,기장군,"18,755","18,331",424,0,0,"2,451,226","2,450,802",924,0,500,4.75,"454,271","475,867","454,267",3,"489,022","424,547",0,"64,475",85,42.04,42.93,"168,199","171,752","400,080",709,"112,380",,,8.5,"39,653","465,827",37.6,"161,894","13,116",32.7,57.2,14,"161,651",새정치민주연합,6th,오규석,무소속,31.75,홍성률,새누리당,37.22
2018,부산기장군,26710,Gijang-gun,기장군,"20,761","20,516",244,0,0,"2,550,978","2,550,734",744,0,500,5.96,"464,207","491,895","464,255",-48,"492,744","439,473",0,"53,271",84.5,39.54,44.96,"160,831","182,848","406,735",710,"114,850",,,6.7,"32,138","478,317",39.4,"176,816","11,636",33.3,54.9,14.6,"164,864",더불어민주당,7th,오규석,무소속,43.2,이현만,더불어민주당,31.53
2019,부산기장군,26710,Gijang-gun,기장군,"22,802","22,465",336,0,0,"2,638,385","2,638,049",836,0,500,2.53,"517,249","530,325","517,533",-284,"543,490","483,096",0,"60,394",85.6,40.4,45.16,"177,386","198,312","439,124",730,"120,289",,,6,"31,960","535,566",43.9,"222,156","13,153",32.1,51.9,15.4,"164,716",더불어민주당,7th,오규석,무소속,43.2,이현만,더불어민주당,31.53
2020,부산기장군,26710,Gijang-gun,기장군,"23,371","22,909",462,0,0,"2,822,120","2,821,658",962,0,500,0.61,"666,707","670,747","666,814",-107,"692,367","636,947",0,"55,419",86.9,37.88,49.02,"192,998","249,756","509,539",806,"132,726",,,4.3,"28,083","650,688",54.7,"340,190","15,642",30.6,50.5,15.9,"174,545",더불어민주당,7th,오규석,무소속,43.2,이현만,더불어민주당,31.53
2021,부산기장군,26710,Gijang-gun,기장군,"23,993","23,435",558,0,0,"3,015,239","3,014,681","1,058",0,500,9.12,"682,390","744,606","682,430",-40,"715,168","638,027",0,"77,141",86.8,35.29,51.52,"197,142","287,775","558,577",788,"137,496",,,4.4,"717,259","31,769",47.6,"321,031","20,695",28.5,53.8,16.6,"177,125",더불어민주당,7th,오규석,무소속,43.2,이현만,더불어민주당,31.53
2022,부산기장군,26710,Gijang-gun,기장군,,,,,,,,,,,,,,,,,,,,88.2,39.04,49.17,"246,313","310,240","630,957",829,"146,800",,,,,,,,,27.5,54.8,17.5,"178,614",국민의힘,8th,정종복,국민의힘,55.87,우성빈,더불어민주당,30.7
2003,부산남구,26290,Nam-gu,남구,,,,,,,,,,,,,,,,"90,416","88,264",0,"2,152",46.8,11.45,35.39,"8,957","27,679","78,207",44,"13,357",,,,,,,,,36.2,36.2,7.2,"307,287",새천년민주당,3rd,전상수,한나라당,50.98,이영근,무소속,29.62
2004,부산남구,26290,Nam-gu,남구,,,,,,,,,,,,,,,,"105,405","102,592",0,"2,813",49.8,12.9,36.89,"10,901","31,173","84,498",46,"14,220",,,,,,,,,36.7,36.7,7.7,"304,481",새천년민주당,3rd,전상수,한나라당,50.98,이영근,무소속,29.62
2005,부산남구,26290,Nam-gu,남구,,,,,,,,,,,,,,,,"109,989","107,878",0,"2,111",56.3,11,45.27,"11,242","46,279","102,237",51,"15,613",,,,,,,,,35.9,68.4,8.3,"302,257",새천년민주당,3rd,전상수,한나라당,50.98,이영근,무소속,29.62
2006,부산남구,26290,Nam-gu,남구,,,,,,,,,,,,,,,,"127,648","127,029",0,619,58.6,11.28,47.27,"11,817","49,511","104,743",38,"11,398",,,,,,,,,26.7,57.9,9,"297,893",열린우리당,4th,이종철,한나라당,67.98,박기욱,열린우리당,32.01
2007,부산남구,26290,Nam-gu,남구,,,,,,,,,,,,,,,,"148,499","148,499","148,499","148,499",63.1,9.9,53.2,"11,913","63,989","120,282",41,"12,129",,,,,,,,,24.4,53,9.8,"296,666",열린우리당,4th,이종철,한나라당,67.98,박기욱,열린우리당,32.01
2008,부산남구,26290,Nam-gu,남구,,,,,,,,,,,,,,,,"153,111","150,175",0,"2,936",70.4,15.93,54.43,"23,784","81,278","149,334",48,"14,370",,,4.7,"7,694","164,727",44.8,"70,530","3,249",22.6,49.1,10.4,"298,314",한나라당,4th,이종철,한나라당,67.98,박기욱,열린우리당,32.01
2009,부산남구,26290,Nam-gu,남구,,,,,,,,,,,-5.19,"198,849","188,522","198,743",106,"196,519","191,398",0,"5,121",71.6,14.24,57.39,"21,592","87,006","151,616",54,"16,125",,,9.9,"19,341","195,522",45.9,"85,669","4,083",22.5,47,11.1,"297,963",한나라당,4th,이종철,한나라당,67.98,박기욱,열린우리당,32.01
2010,부산남구,26290,Nam-gu,남구,,,,,,,,,,,-2.72,"189,930","184,766","189,673",257,"195,481","189,139",0,"6,342",76.1,12.77,63.37,"20,121","99,837","157,549",51,"15,209",,,4.7,"8,705","186,835",54.4,"97,383","4,273",18.2,40.9,11.7,"298,458",한나라당,5th,이종철,한나라당,100,,,
2011,부산남구,26290,Nam-gu,남구,,,,,,,,,,,-0.83,"223,958","222,101","223,776",182,"202,241","199,272",0,"2,969",72.8,13.92,58.84,"23,187","98,036","166,606",90,"26,910",,,4.2,"9,264","220,412",48.3,"102,422","4,146",23.6,45.1,12.3,"295,121",한나라당,5th,이종철,한나라당,100,,,
2012,부산남구,26290,Nam-gu,남구,,,,,,,,,,,-4.48,"232,866","222,426","232,683",183,"231,173","226,747",0,"4,426",72.8,13.18,59.59,"23,874","107,966","181,178",105,"30,974",,,4.4,"10,002","228,540",50.2,"110,335","4,448",25.5,45.8,13.2,"291,175",한나라당,5th,이종철,한나라당,100,,,
2013,부산남구,26290,Nam-gu,남구,,,,,,,,,,,-5.44,"271,403","256,628","271,320",83,"256,641","246,002",0,"10,639",72.8,13.95,58.88,"25,282","106,701","181,230",115,"33,523",,,5.6,"14,386","257,730",52.6,"129,464","6,049",26.9,47.1,13.9,"291,770",한나라당,5th,이종철,한나라당,100,,,
2014,부산남구,26290,Nam-gu,남구,,,,,,,,,,,-6.44,"300,553","281,186","300,465",88,"275,991","269,414",0,"6,577",75.7,10.51,65.14,"22,717","140,767","216,095",126,"36,700",,,4.4,"12,653","287,649",55.7,"153,985","6,298",22.1,39.9,14.8,"286,989",새누리당,6th,이종철,새누리당,42.85,김병원,새정치민주연합,27.32
2015,부산남구,26290,Nam-gu,남구,"11,019","11,019",0,0,0,"792,982","792,982",0,0,0,-5.23,"342,458","324,537","342,373",85,"314,821","303,705",0,"11,116",74.4,8.22,66.23,"19,175","154,549","233,353",139,"39,983",,,4.5,"15,125","337,785",54.9,"178,383","7,184",22.7,39.4,15.6,"283,101",새누리당,6th,이종철,새누리당,42.85,김병원,새정치민주연합,27.32
2016,부산남구,26290,Nam-gu,남구,"12,186","12,186",0,0,0,"832,692","832,692",0,0,0,8.07,"316,961","342,551","317,019",-58,"327,212","317,368",0,"9,843",76.2,17.39,58.79,"43,872","148,331","252,323",159,"44,895",,,3.8,"14,077","366,558",54.2,"190,551","8,021",23.2,38.6,16.4,"278,779",새누리당,6th,이종철,새누리당,42.85,김병원,새정치민주연합,27.32
2017,부산남구,26290,Nam-gu,남구,"12,044","12,023",20,0,0,"864,603","862,315","2,288",0,0,3.78,"339,862","352,712","339,911",-49,"346,972","338,406",0,"8,565",75.2,14.34,60.9,"37,069","157,450","258,539",164,"45,850",,,5.5,"21,453","389,771",53,"196,919","9,555",23.3,39,17.5,"273,854",새정치민주연합,6th,이종철,새누리당,42.85,김병원,새정치민주연합,27.32
2018,부산남구,26290,Nam-gu,남구,"14,417","14,417",0,0,0,"902,246","899,837","2,409",0,0,1.36,"372,300","377,356","372,322",-22,"379,213","370,012",0,"9,201",78.5,17.11,61.38,"53,168","190,697","310,691",210,"57,388",,,4,"16,565","412,049",55.4,"219,755","8,489",24.8,37.9,17.9,"279,917",더불어민주당,7th,박재범,더불어민주당,48.02,박재본,자유한국당,38.67
2019,부산남구,26290,Nam-gu,남구,"16,805","16,805",0,0,0,"952,600","950,146","2,454",0,0,3.28,"439,690","454,108","439,662",28,"445,529","433,698",0,"11,830",79.5,16.72,62.73,"55,944","209,833","334,506",212,"59,215",,,3.4,"16,591","488,339",58,"271,887","11,113",22.8,34.9,18.8,"274,480",더불어민주당,7th,박재범,더불어민주당,48.02,박재본,자유한국당,38.67
2020,부산남구,26290,Nam-gu,남구,"18,652","18,652",0,0,0,"986,920","984,404","2,516",0,0,3.74,"585,716","607,616","585,639",78,"598,970","587,722",0,"11,248",82.1,17.22,64.9,"69,308","261,189","402,469",227,"62,248",,,14.2,"93,636","659,373",49.5,"310,674","15,620",19.7,32.1,20.1,"267,731",더불어민주당,7th,박재범,더불어민주당,48.02,박재본,자유한국당,38.67
2021,부산남구,26290,Nam-gu,남구,"21,553","21,553",0,0,0,"1,047,384","1,044,835","2,549",0,0,9.93,"575,534","632,676","575,952",-418,"586,452","577,577",0,"8,874",84.1,16.61,67.49,"77,435","314,555","466,083",271,"72,674",,,2.3,"687,408","15,503",57.3,"378,036","15,957",19.7,30.4,21.1,"262,069",더불어민주당,7th,박재범,더불어민주당,48.02,박재본,자유한국당,38.67
2022,부산남구,26290,Nam-gu,남구,,,,,,,,,,,,,,,,,,,,83.9,17.7,66.18,"90,707","339,088","512,397",334,"87,549",,,,,,,,,20.7,30.5,22.2,"256,333",국민의힘,8th,오은택,국민의힘,57.92,박재범,더불어민주당,42.07
2003,부산동구,26170,Dong-gu,동구,,,,,,,,,,,,,,,,"97,783","77,102",0,"20,681",48.8,11.05,37.77,"7,330","25,045","66,315",78,"9,448",,,,,,,,,31.1,31.1,10.5,"117,617",새천년민주당,3rd,정현옥,한나라당,100,,,
2004,부산동구,26170,Dong-gu,동구,,,,,,,,,,,,,,,,"101,717","84,046",0,"17,671",46.9,9.18,37.7,"6,616","27,177","72,084",85,"10,049",,,,,,,,,33.7,33.7,11.3,"114,204",새천년민주당,3rd,정현옥,한나라당,100,,,
2005,부산동구,26170,Dong-gu,동구,,,,,,,,,,,,,,,,"115,394","96,731",0,"18,663",48.4,10.48,37.92,"8,395","30,375","80,112",96,"11,009",,,,,,,,,30,68.1,12.3,"109,879",새천년민주당,3rd,정현옥,한나라당,100,,,
2006,부산동구,26170,Dong-gu,동구,,,,,,,,,,,,,,,,"120,833","100,361",0,"20,472",59.8,17.97,41.82,"16,927","39,380","94,172",74,"8,111",,,,,,,,,32.3,62.6,13.3,"106,890",열린우리당,4th,정현옥,한나라당,100,,,
2007,부산동구,26170,Dong-gu,동구,,,,,,,,,,,,,,,,"113,933","113,933","113,933","113,933",58.9,8.08,50.77,"7,674","48,221","94,970",81,"8,695",,,,,,,,,20.2,52.9,14.4,"104,881",열린우리당,4th,정현옥,한나라당,100,,,
2008,부산동구,26170,Dong-gu,동구,,,,,,,,,,,,,,,,"134,243","122,999",0,"11,244",69.1,17.46,51.6,"20,179","59,631","115,555",93,"9,757",,,14.4,"19,115","132,841",41.4,"53,121","1,876",15.4,47.3,15.2,"102,764",한나라당,4th,정현옥,한나라당,100,,,
2009,부산동구,26170,Dong-gu,동구,,,,,,,,,,,-7.66,"153,700","141,931","153,522",178,"161,928","147,031",0,"14,897",70.8,18.62,52.18,"22,613","63,365","121,433",104,"10,709",,,10.6,"15,110","142,690",48.8,"67,179","2,385",19.4,49.4,16,"101,153",한나라당,4th,정현옥,한나라당,100,,,
2010,부산동구,26170,Dong-gu,동구,,,,,,,,,,,-4.66,"143,052","136,385","142,760",293,"156,049","138,021",0,"18,028",71.4,15.38,56,"17,990","65,484","116,945",102,"10,310",,,10,"14,320","142,675",49.3,"68,115","2,234",15.8,45.7,16.6,"101,514",한나라당,5th,박한재,무소속,55,박삼석,한나라당,44.99
2011,부산동구,26170,Dong-gu,동구,,,,,,,,,,,-2.95,"158,608","153,925","158,289",320,"148,933","139,523",0,"9,410",71.8,13.52,58.28,"17,392","74,983","128,663",144,"14,652",,,9.5,"14,497","151,869",46.7,"68,345","2,597",18,44.2,17.2,"100,420",한나라당,5th,박한재,무소속,55,박삼석,한나라당,44.99
2012,부산동구,26170,Dong-gu,동구,,,,,,,,,,,-8.44,"166,968","152,872","166,645",323,"155,154","148,466",0,"6,687",69.6,12.99,56.61,"17,226","75,095","132,656",161,"16,142",,,6.4,"9,838","154,646",47.1,"70,327","2,521",19.7,46,18.3,"98,529",한나라당,5th,박한재,무소속,55,박삼석,한나라당,44.99
2013,부산동구,26170,Dong-gu,동구,,,,,,,,,,,-6.35,"179,980","168,550","179,814",166,"170,919","161,020",0,"9,899",68.4,12.39,55.97,"17,183","77,604","138,659",172,"16,942",,,5.3,"9,259","173,834",47.6,"79,786","3,039",19.8,46.5,19.5,"96,011",한나라당,5th,박한재,무소속,55,박삼석,한나라당,44.99
2014,부산동구,26170,Dong-gu,동구,,,,,,,,,,,-5.58,"202,157","190,884","201,941",216,"186,701","177,038",0,"9,663",72.9,11.89,61.03,"18,896","96,949","158,866",180,"17,236",,,5,"9,675","192,158",49.2,"91,091","3,440",15.3,38.6,20.6,"94,565",새누리당,6th,박삼석,새누리당,42.35,정영석,무소속,40.25
2015,부산동구,26170,Dong-gu,동구,"20,375","20,375",0,0,0,"478,996","478,996",0,0,0,-4.59,"216,866","206,907","216,630",236,"206,690","192,839",0,"13,852",74.8,11.83,63,"20,603","109,754","174,211",189,"17,885",,,5.8,"12,185","209,115",51,"102,876","3,807",14.6,36.6,21.7,"92,069",새누리당,6th,박삼석,새누리당,42.35,정영석,무소속,40.25
2016,부산동구,26170,Dong-gu,동구,"18,296","18,296",0,0,0,"488,512","488,512",0,0,0,0.3,"220,652","221,308","220,720",-68,"225,231","213,679",0,"11,552",74,11.06,62.97,"20,267","115,400","183,260",215,"19,749",,,4.3,"9,575","222,411",50.8,"109,166","3,917",14.8,38.3,22.6,"89,826",새누리당,6th,박삼석,새누리당,42.35,정영석,무소속,40.25
2017,부산동구,26170,Dong-gu,동구,"15,329","15,329",0,0,0,"502,983","502,983",0,0,0,1.7,"229,798","233,712","229,858",-60,"236,464","226,549",0,"9,914",73.7,11.86,61.81,"22,618","117,853","190,661",238,"21,376",,,4.6,"10,832","234,723",50.2,"112,817","4,964",15.3,39.4,23.7,"88,868",새정치민주연합,6th,박삼석,새누리당,42.35,정영석,무소속,40.25
2018,부산동구,26170,Dong-gu,동구,"17,526","17,526",0,0,0,"525,018","525,018",0,0,0,5.43,"231,419","243,989","231,473",-54,"237,905","228,517",0,"9,388",75.3,11.57,63.77,"24,261","133,658","209,607",259,"23,000",,,5.5,"13,696","249,295",51,"122,766","4,334",15.3,36.5,24.6,"86,912",더불어민주당,7th,최형욱,더불어민주당,52.57,박삼석,자유한국당,47.42
2019,부산동구,26170,Dong-gu,동구,"11,989","11,989",0,0,0,"543,385","543,385",0,0,0,6.32,"259,518","275,912","259,481",37,"272,485","261,036",0,"11,448",76.9,11.35,65.5,"25,933","149,587","228,384",301,"26,149",,,5.2,"14,945","288,819",52.1,"144,539","5,941",15.6,35.1,25.2,"88,165",더불어민주당,7th,최형욱,더불어민주당,52.57,박삼석,자유한국당,47.42
2020,부산동구,26170,Dong-gu,동구,"14,457","14,457",0,0,0,"563,341","563,341",0,0,0,2.97,"333,637","343,548","333,669",-33,"342,298","336,873",0,"5,425",76.9,12.98,63.96,"33,008","162,625","254,259",354,"31,235",,,4.2,"14,959","355,733",58.8,"202,885","6,166",15.8,36.4,26.3,"88,901",더불어민주당,7th,최형욱,더불어민주당,52.57,박삼석,자유한국당,47.42
2021,부산동구,26170,Dong-gu,동구,"14,476","14,476",0,0,0,"591,446","591,446",0,0,0,4.02,"355,155","369,435","355,134",20,"375,572","363,664",0,"11,908",78.8,14.83,64.01,"41,457","178,969","279,589",384,"34,112",,,5.7,"393,444","22,251",55.8,"211,799","7,649",15.7,36.8,27.1,"87,679",더불어민주당,7th,최형욱,더불어민주당,52.57,박삼석,자유한국당,47.42
